Record ID,Epoch,Dates,Format,Title,Runtime,Image,Trailer,Cast,Synopsis,Rating,Sound,Last Epoch
1,1451635200,"January 1, 2 & 3 (2016)",2D,Alvin and the Chipmunks: The Road Chip,,,,,,,,1463382000
2,1452240000,"January 8, 9 & 10 (2016)",2D,Daddy's Home,,,,,,,,1463382000
3,1452844800,"January 15, 16 & 17 (2016)","2D

",Star Wars: The Force Awakens,,,,,,,,1463382000
4,1453449600,"January 22, 23 & 24 (2016)",3D,Star Wars: The Force Awakens,,,,,,,,1463382000
5,1454054400,"January 29, 30 & 31 (2016)",2D,Norm of the North,,,,,,,,1463382000
6,1454659200,"February 5, 6 & 7 (2016)",2D,The Forest,,,,,,,,1463382000
7,1455264000,"February 12, 13 & 14 (2016)",2D,Kung Fu Panda 3,,,,,,,,1463382000
8,1455868800,"February 19, 20 & 21 (2016)",3D,Kung Fu Panda 3,,,,,,,,1463382000
9,1456473600,"February 26, 27 & 28 (2016)",2D,Ride Along 2,,,,,,,,1463382000
10,1457078400,"March 4, 5 & 6 (2016)",2D,Deadpool,,,,,,,,1463382000
11,1457683200,"March 11, 12 & 13 (2016)",2D,Gods of Egypt,,,,,,,,1463382000
12,1458284400,"March 18, 19 & 20 (2016)",2D,Zootopia,,,,,,,,1463382000
13,1458889200,"March 25, 26 & 27 (2016)",3D,Zootopia,,,,,,,,1463382000
14,1459494000,"April 1, 2 & 3 (2016)",2D,The Divergent Series: Allegiant,,,,,,,,1463382000
15,1460098800,"April 8, 9 & 10 (2016)",2D,Miracles From Heaven,,,,,,,,1463382000
16,1461913200,"April 29, 30 & May 1 (2016)",2D,Batman v Superman,,,,,,,,1463382000
17,1462518000,"May 6, 7 & 8 (2016)",2D,The Jungle Book,,,,,,,,1463380000
18,1463122800,"May 13, 14 & 15 (2016)",3D,The Jungle Book,1 hr. 51 min.,thejunglebook.jpg,jqmUoteadZI,"Neel Sethi, Scarlett Johansson, Bill Murray, Idris Elba, Ben Kingsley, Christopher Walken","Raised by a family of wolves since birth, Mowgli (Neel Sethi) must leave the only home he's ever known when the fearsome tiger Shere Khan (Idris Elba) unleashes his mighty roar. Guided by a no-nonsense panther (Ben Kingsley) and a free-spirited bear (Bill Murray), the young boy meets an array of jungle animals, including a slithery python and a smooth-talking ape. Along the way, Mowgli learns valuable life lessons as his epic journey of self-discovery leads to fun and adventure.",PG,,1463382000
19,1463727600,"May 20, 21 & 22 (2016)",2D,My Big Fat Greek Wedding 2,1 hr. 34 min.,greekwedding2.jpg,mGHoDScUow8,"Nia Vardalos, John Corbett, Elena Kampouris, Rita Wilson, Lainie Kazan","Parenting and marriage is becoming tougher and tougher for Toula (Nia Vardalos) and her husband Ian. Not only has their relationship lost some of its spark, but they're also dealing with a rebellious teenage daughter who clashes with Greek traditions. On top of that, Toula must contend with aging parents and the endless needs of cousins and friends. When a shocking family secret comes to light, the entire Portokalos clan makes plans to come together for an even bigger wedding than before.",PG-13,Dolby 5.1,1463986800
20,1464332400,"May 27, 28 & 29 (2016)",2D,Captain America: Civil War,2 hr. 27 min.,captainamericacivilwar.jpg,dKrVegVI0Us,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Martin Freeman, Elizabeth Olsen, Jeremy Renner, Paul Rudd, Paul Bettany, Anthony Mackie, Don Cheadle, William Hurt, Tom Holland, Gene Farber, Chadwick Boseman","Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The new status quo deeply divides members of the team. Captain America (Chris Evans) believes superheroes should remain free to defend humanity without government interference. Iron Man (Robert Downey Jr.) sharply disagrees and supports oversight. As the debate escalates into an all-out feud, Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner) must pick a side.",PG-13,Dolby 7.1,1464591600
21,1464937200,"June 3, 4 & 5 (2016)",3D,Captain America: Civil War,2 hr. 27 min.,captainamericacivilwar.jpg,dKrVegVI0Us,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Martin Freeman, Elizabeth Olsen, Jeremy Renner, Paul Rudd, Paul Bettany, Anthony Mackie, Don Cheadle, William Hurt, Tom Holland, Gene Farber, Chadwick Boseman","Political pressure mounts to install a system of accountability when the actions of the Avengers lead to collateral damage. The new status quo deeply divides members of the team. Captain America (Chris Evans) believes superheroes should remain free to defend humanity without government interference. Iron Man (Robert Downey Jr.) sharply disagrees and supports oversight. As the debate escalates into an all-out feud, Black Widow (Scarlett Johansson) and Hawkeye (Jeremy Renner) must pick a side.",PG-13,Dolby 7.1,1465196400
